Name,Birthplace,Death Place,Birth Year,Death Year,B_Lat,B_Lon,B_State,D_Lat,D_Lon,D_State
Munavvar Lakhnavi,Lucknow,Delhi,1897,1970,26.8466937,80.94616599999999,Uttar Pradesh,28.7040592,77.10249019999999,Delhi
Ram Prasad Bismil,Shahjahanpur,Gorakhpur,1897,1927,27.8753399,79.9147268,Uttar Pradesh,26.7605545,83.3731675,Uttar Pradesh
Josh Malihabadi,Malihabad,Islamabad,1898,1982,26.916818,80.7075809,Uttar Pradesh,33.6844202,73.04788479999999,Islamabad Capital Territory
Maghfoor Ahmad Ajazi,Muzaffarpur,Muzaffarpur,1900,1966,26.1196607,85.390982,Bihar,26.1196607,85.390982,Bihar
Hafeez Jalandhari,Jalandhar,Lahore,1900,1982,31.3260152,75.57618289999999,Punjab,31.5203696,74.35874729999999,Punjab
Talib Chakwali,Chakwal,Delhi,1900,1988,32.9327882,72.8629576,Punjab,28.7040592,77.10249019999999,Delhi
Alam Muzaffarnagari,Muzaffarnagar,Unknown,1901,1969,29.4726817,77.7085091,Uttar Pradesh,,,
Bismil Saeedi,"Tonk, India",Delhi,1901,1977,26.1659063,75.7962852,Rajasthan,28.7040592,77.10249019999999,Delhi
Pandit Harichand Akhtar,Hoshiarpur,Delhi,1901,1958,31.5143178,75.911483,Punjab,28.7040592,77.10249019999999,Delhi
Anand Narain Mulla,Lucknow,Delhi,1901,1997,26.8466937,80.94616599999999,Uttar Pradesh,28.7040592,77.10249019999999,Delhi
Zaheen Shah Taji,Jhunjhunu,Karachi,1902,1978,28.1317038,75.4022233,Rajasthan,24.8607343,67.0011364,Sindh
Khushtar Girami,Lahore,Delhi,1902,1988,31.5203696,74.35874729999999,Punjab,28.7040592,77.10249019999999,Delhi
Zulfiqar Ali Bukhari,Peshawar,Karachi,1904,1975,34.0151366,71.5249154,Khyber Pakhtunkhwa,24.8607343,67.0011364,Sindh
Syed Sajjad Zaheer,Lucknow,Almaty,1905,1973,26.8466937,80.94616599999999,Uttar Pradesh,43.2379761,76.8828618,Almaty Region
Akhtar Sheerani,"Tonk (princely state), Tonk",Lahore,1905,1948,26.1659063,75.7962852,Rajasthan,31.5203696,74.35874729999999,Punjab
Saghar Nizami,Aligarh,Delhi,1905,1983,27.8973944,78.0880129,Uttar Pradesh,28.7040592,77.10249019999999,Delhi
Abid Ali Abid,Dera Ismail Khan,Lahore,1906,1971,31.8625706,70.9018692,Khyber Pakhtunkhwa,31.5203696,74.35874729999999,Punjab
Gopal Mittal,Malerkotla,Delhi,1906,1993,30.5245806,75.8783443,Punjab,28.7040592,77.10249019999999,Delhi
Ratan Pandoravi,"Pandori, Jalandhar",Pathankot,1907,1990,31.2487457,75.83378549999999,Punjab,32.2733352,75.6522066,Punjab
Makhdum Muhiuddin,Hyderabad,Hyderabad,1908,1969,17.385044,78.486671,Telangana,17.385044,78.486671,Telangana
Kunwar Mohinder Singh Bedi Sahar,"Chak Bedi, Sahiwal",Fazilka,1908,1992,30.6681998,73.111356,Punjab,30.4036478,74.0279621,Punjab
Arsh Malsiani,Jalandhar,Delhi,1908,1979,31.3260152,75.57618289999999,Punjab,28.7040592,77.10249019999999,Delhi
Sayyid Ahmedullah Qadri,Hyderabad,"Hyderabad, India",1909,1985,17.385044,78.486671,Telangana,17.385044,78.486671,Telangana
Noon Meem Rashid,Alipur Chatha,London,1910,1975,32.2653772,73.8124984,Punjab,51.5072178,-0.1275862,England
Majaz,Rudauli,Lucknow,1911,1955,26.7509049,81.7513551,Uttar Pradesh,26.8466937,80.94616599999999,Uttar Pradesh
Faiz Ahmed Faiz,Narowal,Lahore,1911,1984,32.1014067,74.8799518,Punjab,31.5203696,74.35874729999999,Punjab
Syed Faiz-ul Hassan Shah,Allo Mahar,Allo Mahar,1911,1984,32.3943853,74.4239836,Punjab,32.3943853,74.4239836,Punjab
Aijaz Siddiqi,Agra,Karachi,1911,1978,27.1766701,78.00807449999999,Uttar Pradesh,24.8607343,67.0011364,Sindh
Ravish Siddiqi,Saharanpur,Shahjahanpur,1911,1971,29.9680035,77.55520659999999,Uttar Pradesh,27.8753399,79.9147268,Uttar Pradesh
